## This file was generated by SeaState called from Python on Sep-17-2025 at 16:35:26
## This file contains outputs from calls to SeaState routines (not the CalcOutput) at the 20 points specified in the file Points.Results.dat
# 
# 
# 
# 
          T             x             y             z            V_x           V_y           V_z           A_x           A_Y           A_Z       nodeInWater      elev          norm_x        norm_y        norm_z
         (s)           (m)           (m)           (m)          (m/s)         (m/s)         (m/s)         (m/s)         (m/s)         (m/s)          (-)          (m)           (m/s)         (m/s)         (m/s) 
       30.000        50.000        50.000       -10.000         0.409         0.000        -0.306        -0.330         0.000        -0.349             1         1.040        -0.000        -0.000         1.000
       30.000        50.000        50.000       -50.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.000        -0.000         1.000
       30.000        50.000        50.000      -100.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.000        -0.000         1.000
       30.000        50.000        50.000      -150.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.000        -0.000         1.000
       30.000        50.000        50.000      -190.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.000        -0.000         1.000
       30.000        50.000       100.000         1.000         0.843         0.000        -0.856        -0.864         0.000        -0.682             1         1.040        -0.000        -0.000         1.000
       30.000        50.000       100.000        -1.000         0.787         0.000        -0.768        -0.778         0.000        -0.649             1         1.040        -0.000        -0.000         1.000
       30.000        50.000       100.000       -10.000         0.409         0.000        -0.306        -0.330         0.000        -0.349             1         1.040        -0.000        -0.000         1.000
       30.000        50.000       100.000       -50.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.000        -0.000         1.000
       30.000        50.000       100.000      -100.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.000        -0.000         1.000
       30.000        50.000       100.000      -150.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.000        -0.000         1.000
       30.000        50.000       100.000      -190.000         0.137         0.000        -0.036        -0.070         0.000        -0.104             1         1.040        -0.000        -0.000         1.000
       31.385       -50.000       -50.000        10.000         0.000         0.000         0.000         0.000         0.000         0.000             0         2.822        -0.000        -0.000         1.000
       31.385       -50.000       -50.000        -1.000         2.030         0.000         0.657         0.838         0.000        -1.617             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       -50.000       -10.000         1.172         0.000         0.114         0.297         0.000        -0.876             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       -50.000       -50.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       -50.000      -100.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       -50.000      -150.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       -50.000      -190.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000         0.000         1.000         2.191         0.000         0.757         0.930         0.000        -1.774             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000         0.000        -1.000         2.030         0.000         0.657         0.838         0.000        -1.617             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000         0.000       -10.000         1.172         0.000         0.114         0.297         0.000        -0.876             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000         0.000       -50.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000         0.000      -100.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000         0.000      -150.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000         0.000      -190.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000        50.000         1.000         2.191         0.000         0.757         0.930         0.000        -1.774             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000        50.000        -1.000         2.030         0.000         0.657         0.838         0.000        -1.617             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000        50.000       -10.000         1.172         0.000         0.114         0.297         0.000        -0.876             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000        50.000       -50.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000        50.000      -100.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000        50.000      -150.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000        50.000      -190.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       100.000         1.000         2.191         0.000         0.757         0.930         0.000        -1.774             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       100.000        -1.000         2.030         0.000         0.657         0.838         0.000        -1.617             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       100.000       -10.000         1.172         0.000         0.114         0.297         0.000        -0.876             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       100.000       -50.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       100.000      -100.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       100.000      -150.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385       -50.000       100.000      -190.000         0.503         0.000        -0.154        -0.019         0.000        -0.377             1         2.822        -0.000        -0.000         1.000
       31.385         0.000       -50.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.359         0.061        -0.000         0.998
       31.385         0.000       -50.000        -1.000         0.240         0.000         0.797         0.576         0.000        -0.373             1         0.359         0.061        -0.000         0.998
       31.385         0.000       -50.000       -10.000         0.037         0.000         0.497         0.386         0.000         0.014             1         0.359         0.061        -0.000         0.998
       31.385         0.000       -50.000       -50.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000       -50.000      -100.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000       -50.000      -150.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000       -50.000      -190.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000         0.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.359         0.061        -0.000         0.998
       31.385         0.000         0.000        -1.000         0.240         0.000         0.797         0.576         0.000        -0.373             1         0.359         0.061        -0.000         0.998
       31.385         0.000         0.000       -10.000         0.037         0.000         0.497         0.386         0.000         0.014             1         0.359         0.061        -0.000         0.998
       31.385         0.000         0.000       -50.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000         0.000      -100.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000         0.000      -150.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000         0.000      -190.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000        50.000        10.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.359         0.061        -0.000         0.998
       31.385         0.000        50.000        -1.000         0.240         0.000         0.797         0.576         0.000        -0.373             1         0.359         0.061        -0.000         0.998
       31.385         0.000        50.000       -10.000         0.037         0.000         0.497         0.386         0.000         0.014             1         0.359         0.061        -0.000         0.998
       31.385         0.000        50.000       -50.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
       31.385         0.000        50.000      -100.000         0.086         0.000         0.188         0.168         0.000        -0.008             1         0.359         0.061        -0.000         0.998
