
These predictions were generated by SeaState on 29-Aug-2025 at 12:34:22.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)            (Pa)            (Pa)            (Pa)            (Pa)
    2.8000   0.2892747E+00   0.5289902E+00   0.4105631E-03  -0.2037517E+00  -0.7131733E+00  -0.6494970E+00  -0.4346556E-01  -0.7446976E+00  -0.1501960E+01  -0.2213824E+01  -0.4455343E+01   0.1615559E+01   0.4678272E+00  -0.1415010E+00  -0.2054877E+00   0.2784165E+04   0.4787214E+04  -0.2177849E+03  -0.1659362E+04  -0.6577789E+04
    3.0000  -0.1491398E+00   0.6037797E+00   0.5614746E-01  -0.2177728E+00  -0.8028338E+00  -0.1354251E+01   0.1076828E+00  -0.6901398E+00  -0.1482433E+01  -0.2239828E+01  -0.4337970E+01   0.7944856E+00   0.1098093E+00   0.4644998E+00   0.4137793E+00  -0.1258430E+04   0.5425314E+04   0.3309368E+03  -0.1827891E+04  -0.7520096E+04
    3.2000  -0.5638801E+00   0.6147292E+00   0.8918237E-01  -0.1975230E+00  -0.8325532E+00  -0.2007039E+01   0.1275653E+00  -0.6869896E+00  -0.1380301E+01  -0.2174160E+01  -0.3782607E+01  -0.2080235E+00  -0.2162751E+00   0.9780822E+00   0.8669419E+00  -0.5097377E+04   0.5505365E+04   0.6866420E+03  -0.1709192E+04  -0.7903420E+04
    3.4000  -0.9208074E+00   0.5600335E+00   0.1013534E+00  -0.1510894E+00  -0.8094670E+00  -0.2545791E+01   0.6270774E-02  -0.7277091E+00  -0.1215157E+01  -0.2038984E+01  -0.2861262E+01  -0.1236752E+01  -0.4637497E+00   0.1323633E+01   0.1130462E+01  -0.8425474E+04   0.5020377E+04   0.8606516E+03  -0.1370645E+04  -0.7781098E+04
    3.6000  -0.1192803E+01   0.4467272E+00   0.9727539E-01  -0.9077106E-01  -0.7438198E+00  -0.2923030E+01  -0.2448919E+00  -0.7988199E+00  -0.1015966E+01  -0.1859620E+01  -0.1690078E+01  -0.2121202E+01  -0.6019712E+00   0.1450750E+01   0.1216988E+01  -0.1099678E+05   0.4036545E+04   0.8882879E+03  -0.9159653E+03  -0.7237523E+04
    3.8000  -0.1362436E+01   0.2901272E+00   0.8329781E-01  -0.3113159E-01  -0.6472431E+00  -0.3111231E+01  -0.5939564E+00  -0.8835615E+00  -0.8167148E+00  -0.1660239E+01  -0.4141550E+00  -0.2707804E+01  -0.6200910E+00   0.1340874E+01   0.1167049E+01  -0.1265005E+05   0.2687565E+04   0.8205276E+03  -0.4685695E+03  -0.6374149E+04
    4.0000  -0.1423372E+01   0.1118895E+00   0.6627787E-01   0.1325004E-01  -0.5312190E+00  -0.3105504E+01  -0.9926459E+00  -0.9648813E+00  -0.6514487E+00  -0.1460562E+01   0.8118763E+00  -0.2889920E+01  -0.5273333E+00   0.1009392E+01   0.1035992E+01  -0.1332125E+05   0.1158124E+04   0.7139050E+03  -0.1522599E+03  -0.5296285E+04
    4.2000  -0.1380375E+01  -0.6304748E-01   0.5238430E-01   0.3000338E-01  -0.4059519E+00  -0.2923240E+01  -0.1383822E+01  -0.1028234E+01  -0.5494057E+00  -0.1274062E+01   0.1844931E+01  -0.2629358E+01  -0.3499935E+00   0.5030246E+00   0.8794388E+00  -0.1304382E+05  -0.3412568E+03   0.6204974E+03  -0.7199457E+02  -0.4102589E+04
    4.4000  -0.1247924E+01  -0.2101334E+00   0.4612887E-01   0.1086094E-01  -0.2797581E+00  -0.2600779E+01  -0.1710702E+01  -0.1063738E+01  -0.5309023E+00  -0.1107794E+01   0.2573172E+01  -0.1964783E+01  -0.1258895E+00  -0.1070573E+00   0.7406451E+00  -0.1193716E+05  -0.1604053E+04   0.5796184E+03  -0.2974611E+03  -0.2878312E+04
    4.6000  -0.1047698E+01  -0.3088734E+00   0.4976400E-01  -0.4703353E-01  -0.1589521E+00  -0.2187586E+01  -0.1926151E+01  -0.1067387E+01  -0.6045159E+00  -0.9636077E+00   0.2931345E+01  -0.1005140E+01   0.1026364E+00  -0.7353345E+00   0.6424229E+00  -0.1018527E+05  -0.2457435E+04   0.6124255E+03  -0.8516007E+03  -0.1692445E+04
    4.8000  -0.8053012E+00  -0.3458624E+00   0.6311704E-01  -0.1405660E+00  -0.4812130E-01  -0.1738800E+01  -0.2000307E+01  -0.1041189E+01  -0.7659063E+00  -0.8402197E+00   0.2909243E+01   0.9066848E-01   0.2958896E+00  -0.1293814E+01   0.5850599E+00  -0.8009010E+04  -0.2786897E+04   0.7200820E+03  -0.1705623E+04  -0.5981443E+03
    5.0000  -0.5467342E+00  -0.3166671E+00   0.8384354E-01  -0.2609053E+00   0.4939880E-01  -0.1307288E+01  -0.1925123E+01  -0.9923200E+00  -0.9983817E+00  -0.7355067E+00   0.2551768E+01   0.1143700E+01   0.4229897E+00  -0.1703959E+01   0.5501598E+00  -0.5636057E+04  -0.2551842E+04   0.8854490E+03  -0.2781023E+04   0.3648124E+03
    5.2000  -0.2951290E+00  -0.2262670E+00   0.1080243E+00  -0.3945165E+00   0.1310315E+00  -0.9364136E+00  -0.1715035E+01  -0.9315042E+00  -0.1275080E+01  -0.6483927E+00   0.1950318E+01   0.1988339E+01   0.4660890E+00  -0.1907043E+01   0.5089418E+00  -0.3273095E+04  -0.1789743E+04   0.1077706E+04  -0.3958256E+04   0.1166832E+04
    5.4000  -0.6821871E-01  -0.8801208E-01   0.1309731E+00  -0.5247887E+00   0.1946132E+00  -0.6546339E+00  -0.1403720E+01  -0.8709778E+00  -0.1562423E+01  -0.5798891E+00   0.1226703E+01   0.2502272E+01   0.4221249E+00  -0.1871515E+01   0.4325750E+00  -0.1084026E+04  -0.6085545E+03   0.1258900E+04  -0.5090841E+04   0.1785862E+04
    5.6000   0.1231141E+00   0.7865800E-01   0.1481064E+00  -0.6340604E+00   0.2382822E+00  -0.4727591E+00  -0.1037687E+01  -0.8223965E+00  -0.1824347E+01  -0.5331064E+00   0.5120953E+00   0.2627007E+01   0.3020480E+00  -0.1596484E+01   0.3017888E+00   0.8228801E+03   0.8308713E+03   0.1391177E+04  -0.6023011E+04   0.2206031E+04
    5.8000   0.2750512E+00   0.2512819E+00   0.1557290E+00  -0.7057773E+00   0.2606048E+00  -0.3842528E+00  -0.6680408E+00  -0.7950345E+00  -0.2026749E+01  -0.5123370E+00  -0.7550061E-01   0.2374982E+01   0.1279035E+00  -0.1111002E+01   0.1133384E+00   0.2397674E+04   0.2338956E+04   0.1443518E+04  -0.6608706E+04   0.2417823E+04
    6.0000   0.3898699E+00   0.4076565E+00   0.1516278E+00  -0.7265224E+00   0.2608785E+00  -0.3684613E+00  -0.3420880E+00  -0.7945173E+00  -0.2141572E+01  -0.5215524E+00  -0.4513390E+00   0.1822194E+01  -0.7151581E-01  -0.4694521E+00  -0.1181694E+00   0.3641640E+04   0.3723760E+04   0.1396998E+04  -0.6729570E+04   0.2419447E+04
    6.2000   0.4740367E+00   0.5287567E+00   0.1353995E+00  -0.6876811E+00   0.2394871E+00  -0.3961306E+00  -0.9637249E-01  -0.8222197E+00  -0.2150060E+01  -0.5627896E+00  -0.5779806E+00   0.1088428E+01  -0.2655645E+00   0.2560808E+00  -0.3633758E+00   0.4592590E+04   0.4815178E+04   0.1247924E+04  -0.6309883E+04   0.2218701E+04
    6.4000   0.5357806E+00   0.6008351E+00   0.1084976E+00  -0.5865571E+00   0.1981794E+00  -0.4361737E+00   0.4760290E-01  -0.8753259E+00  -0.2044837E+01  -0.6348983E+00  -0.4706149E+00   0.3097691E+00  -0.4263017E+00   0.9852222E+00  -0.5852140E+00   0.5305841E+04   0.5483282E+04   0.1008599E+04  -0.5326774E+04   0.1834455E+04
    6.6000   0.5826350E+00   0.6164424E+00   0.7402197E-01  -0.4268367E+00   0.1401620E+00  -0.4624102E+00   0.8437616E-01  -0.9474416E+00  -0.1830631E+01  -0.7330214E+00  -0.1925177E+00  -0.3903485E+00  -0.5320187E+00   0.1639082E+01  -0.7479734E+00   0.5834849E+04   0.5648697E+04   0.7058547E+03  -0.3814698E+04   0.1296982E+04
    6.8000   0.6194383E+00   0.5743448E+00   0.3631014E-01  -0.2183665E+00   0.6994975E-01  -0.4590002E+00   0.2237116E-01  -0.1029586E+01  -0.1523667E+01  -0.8489492E+00   0.1587145E+00  -0.9251637E+00  -0.5693177E+00   0.2149056E+01  -0.8260062E+00   0.6215450E+04   0.5284576E+04   0.3777281E+03  -0.1863799E+04   0.6467302E+03
    7.0000   0.6471826E+00   0.4785496E+00   0.3987223E-03   0.2370451E-01  -0.7021144E-02  -0.4235265E+00  -0.1205972E+00  -0.1111364E+01  -0.1149872E+01  -0.9722797E+00   0.4717169E+00  -0.1258547E+01  -0.5336888E+00   0.2463621E+01  -0.8098661E+00   0.6456759E+04   0.4411481E+04   0.6881693E+02   0.3875044E+03  -0.6850960E+02
    7.2000   0.6629298E+00   0.3368062E+00  -0.2857105E-01   0.2803134E+00  -0.8494198E-01  -0.3671123E+00  -0.3228908E+00  -0.1182149E+01  -0.7421876E+00  -0.1092082E+01   0.6448869E+00  -0.1406176E+01  -0.4288224E+00   0.2552503E+01  -0.7083564E+00   0.6540423E+04   0.3087694E+04  -0.1750437E+03   0.2764877E+04  -0.7976272E+03
    7.4000   0.6607955E+00   0.1590147E+00  -0.4594289E-01   0.5302505E+00  -0.1582391E+00  -0.3115430E+00  -0.5642450E+00  -0.1232149E+01  -0.3373102E+00  -0.1198659E+01   0.6083546E+00  -0.1424191E+01  -0.2651220E+00   0.2408086E+01  -0.5460535E+00   0.6428153E+04   0.1398039E+04  -0.3122931E+03   0.5074023E+04  -0.1490687E+04
    7.6000   0.6337805E+00  -0.4405617E-01  -0.4808791E-01   0.7521269E+00  -0.2221106E+00  -0.2839332E+00  -0.8293394E+00  -0.1253321E+01   0.2777892E-01  -0.1284973E+01   0.3399882E+00  -0.1388484E+01  -0.5794476E-01   0.2044386E+01  -0.3570049E+00   0.6075740E+04  -0.5559554E+03  -0.3108307E+03   0.7118716E+04  -0.2103089E+04
    7.8000   0.5760503E+00  -0.2614917E+00  -0.3286761E-01   0.9263614E+00  -0.2728972E+00  -0.3100094E+00  -0.1108953E+01  -0.1240098E+01   0.3191832E+00  -0.1347408E+01  -0.1279588E+00  -0.1369929E+01   0.1739858E+00   0.1494175E+01  -0.1762688E+00   0.5450333E+04  -0.2662670E+04  -0.1525353E+03   0.8719184E+04  -0.2598686E+04
    8.0000   0.4851522E+00  -0.4823251E+00   0.5544026E-05   0.1037014E+01  -0.3082266E+00  -0.4073727E+00  -0.1398571E+01  -0.1189994E+01   0.5090973E+00  -0.1385711E+01  -0.7132453E+00  -0.1411777E+01   0.4097495E+00   0.8050044E+00  -0.3148244E-01   0.4546963E+04  -0.4803241E+04   0.1632503E+03   0.9729229E+04  -0.2951429E+04
    8.2000   0.3636568E+00  -0.6951466E+00   0.4873374E-01   0.1073316E+01  -0.3269380E+00  -0.5801725E+00  -0.1694985E+01  -0.1104073E+01   0.5782595E+00  -0.1402185E+01  -0.1298637E+01  -0.1514887E+01   0.6270028E+00   0.3479811E-01   0.6338593E-01   0.3400291E+04  -0.6851526E+04   0.6175432E+03   0.1005058E+05  -0.3145519E+04
    8.4000   0.2198066E+00  -0.8875276E+00   0.1093504E+00   0.1030768E+01  -0.3288431E+00  -0.8163897E+00  -0.1991977E+01  -0.9872905E+00   0.5177080E+00  -0.1400394E+01  -0.1754909E+01  -0.1634642E+01   0.8026177E+00  -0.7525267E+00   0.1105251E+00   0.2088421E+04  -0.8673245E+04   0.1171216E+04   0.9643207E+04  -0.3174365E+04
    8.6000   0.6694646E-01  -0.1045643E+01   0.1758298E+00   0.9117140E+00  -0.3144203E+00  -0.1088450E+01  -0.2276445E+01  -0.8486223E+00   0.3297620E+00  -0.1383755E+01  -0.1967576E+01  -0.1690633E+01   0.9135907E+00  -0.1491206E+01   0.1264013E+00   0.7271340E+03  -0.1012682E+05   0.1766463E+04   0.8530680E+04  -0.3038972E+04
    8.8000  -0.7825363E-01  -0.1154453E+01   0.2404241E+00   0.7253367E+00  -0.2845470E+00  -0.1357242E+01  -0.2526297E+01  -0.7008796E+00   0.2815669E-01  -0.1354449E+01  -0.1862089E+01  -0.1587117E+01   0.9386230E+00  -0.2117610E+01   0.1360196E+00  -0.5451838E+03  -0.1106833E+05   0.2330514E+04   0.6799883E+04  -0.2746352E+04
    9.0000  -0.1985088E+00  -0.1198662E+01   0.2942515E+00   0.4870408E+00  -0.2403515E+00  -0.1578931E+01  -0.2711025E+01  -0.5600714E+00  -0.3627051E+00  -0.1312928E+01  -0.1422345E+01  -0.1239666E+01   0.8605918E+00  -0.2574254E+01   0.1648518E+00  -0.1589609E+04  -0.1136182E+05   0.2781688E+04   0.4594970E+04  -0.2308559E+04
    9.2000  -0.2790856E+00  -0.1164495E+01   0.3281384E+00   0.2172539E+00  -0.1832282E+00  -0.1713350E+01  -0.2795267E+01  -0.4442130E+00  -0.8094034E+00  -0.1258206E+01  -0.6984369E+00  -0.6017535E+00   0.6698333E+00  -0.2814060E+01   0.2305519E+00  -0.2291832E+04  -0.1089502E+05   0.3037607E+04   0.2105764E+04  -0.1742534E+04
