
These predictions were generated by SeaState on 29-Aug-2025 at 12:34:22.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)            (Pa)            (Pa)            (Pa)            (Pa)
   38.2000   0.6534773E+00  -0.1547759E+01  -0.4971670E+00  -0.1815497E-01  -0.4253987E+00  -0.3518095E+00  -0.2929241E+01  -0.1691879E+01  -0.1662942E+01  -0.1551483E+01  -0.2183418E+01  -0.1214546E+01  -0.1504578E+01   0.2009354E+01  -0.1310870E+01   0.6321066E+04  -0.1470325E+05  -0.4574470E+04   0.2877560E+03  -0.4021519E+04
   38.4000   0.4756589E+00  -0.1467826E+01  -0.6013716E+00   0.1851532E+00  -0.3857421E+00  -0.6945086E+00  -0.2979181E+01  -0.1817603E+01  -0.1290449E+01  -0.1682479E+01  -0.2375266E+01  -0.1294716E-01  -0.5887766E+00   0.2487650E+01  -0.7867506E+00   0.4728895E+04  -0.1378748E+05  -0.5531479E+04   0.2139857E+04  -0.3471972E+04
   38.6000   0.2915536E+00  -0.1289469E+01  -0.6594566E+00   0.4162244E+00  -0.3067963E+00  -0.1042421E+01  -0.2842493E+01  -0.1822389E+01  -0.8599970E+00  -0.1726837E+01  -0.2265298E+01   0.1339957E+01   0.4574750E+00   0.2745657E+01  -0.6045887E-01   0.3078106E+04  -0.1200109E+05  -0.6125337E+04   0.4240210E+04  -0.2589959E+04
   38.8000   0.1208182E+00  -0.1014759E+01  -0.6729148E+00   0.6514218E+00  -0.1804389E+00  -0.1354754E+01  -0.2513589E+01  -0.1707072E+01  -0.4116521E+00  -0.1662126E+01  -0.1868045E+01   0.2640331E+01   0.1409739E+01   0.2753030E+01   0.7451680E+00   0.1539359E+04  -0.9373318E+04  -0.6373883E+04   0.6370797E+04  -0.1309036E+04
   39.0000  -0.1901752E-01  -0.6578755E+00  -0.6520234E+00   0.8660510E+00  -0.5876872E-02  -0.1595421E+01  -0.2015123E+01  -0.1498768E+01   0.1220349E-01  -0.1483602E+01  -0.1243593E+01   0.3685914E+01   0.2054816E+01   0.2500044E+01   0.1500300E+01   0.2651931E+03  -0.6034542E+04  -0.6360609E+04   0.8304600E+04   0.3766718E+03
   39.2000  -0.1147678E+00  -0.2439305E+00  -0.6140184E+00   0.1036622E+01   0.2100229E+00  -0.1738295E+01  -0.1395541E+01  -0.1246334E+01   0.3706677E+00  -0.1204320E+01  -0.4864930E+00   0.4310956E+01   0.2237789E+01   0.2001033E+01   0.2089893E+01  -0.6284456E+03  -0.2206077E+04  -0.6219691E+04   0.9826430E+04   0.2408683E+04
   39.4000  -0.1591818E+00   0.1939812E+00  -0.5796422E+00   0.1143040E+01   0.4536107E+00  -0.1770783E+01  -0.7222415E+00  -0.1010887E+01   0.6281815E+00  -0.8523898E+00   0.2913193E+00   0.4414791E+01   0.1897584E+01   0.1295380E+01   0.2431312E+01  -0.1075706E+04   0.1824516E+04  -0.6108927E+04   0.1075284E+05   0.4670445E+04
   39.6000  -0.1516771E+00   0.6190475E+00  -0.5687248E+00   0.1170503E+01   0.7063305E+00  -0.1695190E+01  -0.7149466E-01  -0.8532747E+00   0.7580357E+00  -0.4660388E+00   0.9800106E+00   0.3978939E+01   0.1083180E+01   0.4453284E+00   0.2485047E+01  -0.1067471E+04   0.5738922E+04  -0.6175691E+04   0.1094918E+05   0.7002163E+04
   39.8000  -0.9813442E-01   0.9956409E+00  -0.5957003E+00   0.1110920E+01   0.9472284E+00  -0.1527726E+01   0.4831650E+00  -0.8210697E+00   0.7450985E+00  -0.8747374E-01   0.1489919E+01   0.3069838E+01  -0.5333319E-01  -0.4696140E+00   0.2257199E+01  -0.6503328E+03   0.9228813E+04  -0.6522788E+04   0.1034213E+05   0.9221320E+04
   40.0000  -0.9826800E-02   0.1294065E+01  -0.6659971E+00   0.9636867E+00   0.1155665E+01  -0.1295459E+01   0.8820872E+00  -0.9378062E+00   0.5873855E+00   0.2433541E+00   0.1764817E+01   0.1826910E+01  -0.1285716E+01  -0.1361203E+01   0.1794018E+01   0.8163377E+02   0.1203543E+05  -0.7181364E+04   0.8926518E+04   0.1114545E+05
   40.2000   0.9830884E-01   0.1494384E+01  -0.7740919E+00   0.7357379E+00   0.1313803E+01  -0.1031863E+01   0.1088317E+01  -0.1196793E+01   0.2962356E+00   0.4940405E+00   0.1788185E+01   0.4383374E+00  -0.2358697E+01  -0.2142793E+01   0.1170210E+01   0.1000810E+04   0.1398166E+05  -0.8096854E+04   0.6765629E+04   0.1261355E+05
   40.4000   0.2097632E+00   0.1588720E+01  -0.9036984E+00   0.4408709E+00   0.1408510E+01  -0.7717995E+00   0.1092617E+01  -0.1560884E+01  -0.1049663E+00   0.6433132E+00   0.1581881E+01  -0.8909481E+00  -0.3039909E+01  -0.2739898E+01   0.4737148E+00   0.1963385E+04   0.1499174E+05  -0.9131445E+04   0.3985224E+04   0.1350328E+05
   40.6000   0.3085840E+00   0.1581692E+01  -0.1030134E+01   0.9842863E-01   0.1432473E+01  -0.5467827E+00   0.9139163E+00  -0.1968403E+01  -0.5833632E+00   0.6825147E+00   0.1198156E+01  -0.1973314E+01  -0.3167841E+01  -0.3099238E+01  -0.2099372E+00   0.2827552E+04   0.1509550E+05  -0.1008338E+05   0.7618614E+03   0.1374171E+05
   40.8000   0.3812453E+00   0.1488957E+01  -0.1124475E+01  -0.2685042E+00   0.1384454E+01  -0.3812651E+00   0.5952197E+00  -0.2344132E+01  -0.1100157E+01   0.6150051E+00   0.7072885E+00  -0.2668556E+01  -0.2685761E+01  -0.3194734E+01  -0.8107780E+00   0.3470071E+04   0.1441700E+05  -0.1071999E+05  -0.2693009E+04   0.1330917E+05
   41.0000   0.4180312E+00   0.1334143E+01  -0.1158728E+01  -0.6351776E+00   0.1268764E+01  -0.2903756E+00   0.1957679E+00  -0.2613243E+01  -0.1614618E+01   0.4538736E+00   0.1837389E+00  -0.2905062E+01  -0.1654559E+01  -0.3029475E+01  -0.1282920E+01   0.3799190E+04   0.1314973E+05  -0.1081856E+05  -0.6151467E+04   0.1223641E+05
   41.2000   0.4138163E+00   0.1144731E+01  -0.1111058E+01  -0.9772927E+00   0.1094182E+01  -0.2792536E+00  -0.2191375E+00  -0.2715427E+01  -0.2088040E+01   0.2186161E+00  -0.3062443E+00  -0.2688688E+01  -0.2418422E+00  -0.2633404E+01  -0.1607389E+01   0.3762725E+04   0.1152279E+05  -0.1020746E+05  -0.9388056E+04   0.1059668E+05
   41.4000   0.3682186E+00   0.9475880E+00  -0.9700646E+00  -0.1272937E+01   0.8725601E+00  -0.3438130E+00  -0.5888679E+00  -0.2616441E+01  -0.2487154E+01  -0.6847505E-01  -0.7133086E+00  -0.2098307E+01   0.1310406E+01  -0.2057322E+01  -0.1789455E+01   0.3350833E+04   0.9763858E+04  -0.8799866E+04  -0.1219742E+05   0.8494605E+04
   41.6000   0.2852056E+00   0.7648931E+00  -0.7372898E+00  -0.1504170E+01   0.6173999E+00  -0.4725476E+00  -0.8669634E+00  -0.2314803E+01  -0.2786621E+01  -0.3854933E+00  -0.1008816E+01  -0.1269316E+01   0.2732870E+01  -0.1364452E+01  -0.1851686E+01   0.2593845E+04   0.8065035E+04  -0.6613655E+04  -0.1440908E+05   0.6054249E+04
   41.8000   0.1722828E+00   0.6111116E+00  -0.4274776E+00  -0.1658134E+01   0.3426255E+00  -0.6488912E+00  -0.1027840E+01  -0.1842360E+01  -0.2970431E+01  -0.7131579E+00  -0.1183875E+01  -0.3683978E+00   0.3780924E+01  -0.6212593E+00  -0.1824730E+01   0.1556026E+04   0.6557066E+04  -0.3773688E+04  -0.1589832E+05   0.3407975E+04
   42.0000   0.3942881E-01   0.4914729E+00  -0.6654384E-01  -0.1727654E+01   0.6168445E-01  -0.8536599E+00  -0.1069709E+01  -0.1258664E+01  -0.3032187E+01  -0.1035864E+01  -0.1244790E+01   0.4358361E+00   0.4281032E+01   0.1107868E+00  -0.1738080E+01   0.3265187E+03   0.5295752E+04  -0.4960381E+03  -0.1659265E+05   0.6875768E+03
   42.2000  -0.1020694E+00   0.4021353E+00   0.3123606E+00  -0.1711355E+01  -0.2129847E+00  -0.1067216E+01  -0.1013352E+01  -0.6403376E+00  -0.2974470E+01  -0.1341591E+01  -0.1206782E+01   0.1001209E+01   0.4162226E+01   0.7811220E+00  -0.1612874E+01  -0.9912159E+03   0.4262301E+04   0.2942958E+04  -0.1647390E+05  -0.1981948E+04
   42.4000  -0.2407515E+00   0.3319358E+00   0.6739488E+00  -0.1613351E+01  -0.4701721E+00  -0.1271164E+01  -0.8971368E+00  -0.6755220E-01  -0.2807572E+01  -0.1620980E+01  -0.1087992E+01   0.1234684E+01   0.3466671E+01   0.1352935E+01  -0.1458165E+01  -0.2290259E+04   0.3376845E+04   0.6247138E+04  -0.1557637E+05  -0.4486194E+04
   42.6000  -0.3660015E+00   0.2653604E+00   0.9861121E+00  -0.1442614E+01  -0.6999300E+00  -0.1449538E+01  -0.7692310E+00   0.3897136E+00  -0.2547903E+01  -0.1866033E+01  -0.9053605E+00   0.1105906E+01   0.2337695E+01   0.1802971E+01  -0.1271219E+01  -0.3470333E+04   0.2522334E+04   0.9143129E+04  -0.1398162E+05  -0.6723454E+04
   42.8000  -0.4688910E+00   0.1861743E+00   0.1224495E+01  -0.1212116E+01  -0.8935679E+00  -0.1589599E+01  -0.6784410E+00   0.6830341E+00  -0.2216367E+01  -0.2068961E+01  -0.6731900E+00   0.6498118E+00   0.9884136E+00   0.2119031E+01  -0.1041434E+01  -0.4446442E+04   0.1574152E+04   0.1141770E+05  -0.1181072E+05  -0.8606225E+04
   43.0000  -0.5428194E+00   0.8106460E-01   0.1375551E+01  -0.9378200E+00  -0.1043744E+01  -0.1682353E+01  -0.6652381E+00   0.7924435E+00  -0.1836881E+01  -0.2221591E+01  -0.4042356E+00  -0.4161201E-01  -0.3420573E+00   0.2296396E+01  -0.7567182E+00  -0.5155470E+04   0.4301823E+03   0.1294356E+05  -0.9214565E+04  -0.1006298E+05
   43.2000  -0.5839341E+00  -0.5733370E-01   0.1437606E+01  -0.6375746E+00  -0.1144726E+01  -0.1722933E+01  -0.7544670E+00   0.7277925E+00  -0.1435073E+01  -0.2315589E+01  -0.1123410E+00  -0.8365493E+00  -0.1435486E+01   0.2334560E+01  -0.4105767E+00  -0.5560400E+04  -0.9639849E+03   0.1368979E+05  -0.6362934E+04  -0.1104084E+05
   43.4000  -0.5913121E+00  -0.2285421E+00   0.1419873E+01  -0.3299523E+00  -0.1192832E+01  -0.1710870E+01  -0.9508908E+00   0.5245829E+00  -0.1037091E+01  -0.2343513E+01   0.1848447E+00  -0.1586370E+01  -0.2134846E+01   0.2235411E+01  -0.8107413E-02  -0.5651963E+04  -0.2599031E+04   0.1371606E+05  -0.3432706E+04  -0.1150910E+05
   43.6000  -0.5668946E+00  -0.4237710E+00   0.1339728E+01  -0.3304956E-01  -0.1186972E+01  -0.1650193E+01  -0.1238221E+01   0.2354092E+00  -0.6683946E+00  -0.2300455E+01   0.4645434E+00  -0.2150512E+01  -0.2370191E+01   0.2003478E+01   0.4306603E+00  -0.5447644E+04  -0.4397714E+04   0.1315275E+05  -0.5957300E+03  -0.1146314E+05
   43.8000  -0.5151629E+00  -0.6269513E+00   0.1218878E+01   0.2367199E+00  -0.1129158E+01  -0.1549230E+01  -0.1581698E+01  -0.8106170E-01  -0.3523774E+00  -0.2185902E+01   0.6999197E+00  -0.2419222E+01  -0.2165530E+01   0.1648116E+01   0.8710455E+00  -0.4988127E+04  -0.6223155E+04   0.1217174E+05   0.1993125E+04  -0.1092772E+05
   44.0000  -0.4425643E+00  -0.8170719E+00   0.1079223E+01   0.4657861E+00  -0.1024826E+01  -0.1419959E+01  -0.1933722E+01  -0.3712623E+00  -0.1087632E+00  -0.2005288E+01   0.8637546E+00  -0.2330711E+01  -0.1626300E+01   0.1186821E+01   0.1267745E+01  -0.4331544E+04  -0.7898155E+04   0.1095373E+05   0.4207048E+04  -0.9958479E+04
   44.2000  -0.3567286E+00  -0.9714320E+00   0.9391934E+00   0.6444550E+00  -0.8828083E+00  -0.1276822E+01  -0.2241555E+01  -0.5958580E+00   0.4816047E-01  -0.1770797E+01   0.9340140E+00  -0.1880323E+01  -0.9111650E+00   0.6483403E+00   0.1571936E+01  -0.3546032E+04  -0.9232314E+04   0.9658334E+04   0.5956636E+04  -0.8640525E+04
   44.4000  -0.2655540E+00  -0.1069273E+01   0.8111974E+00   0.7677006E+00  -0.7148794E+00  -0.1135030E+01  -0.2455827E+01  -0.7352032E+00   0.1112701E+00  -0.1501073E+01   0.8998605E+00  -0.1120655E+01  -0.1949832E+00   0.7413091E-01   0.1740072E+01  -0.2701531E+04  -0.1005246E+05   0.8402070E+04   0.7196542E+04  -0.7083547E+04
   44.6000  -0.1762701E+00  -0.1095198E+01   0.7005493E+00   0.8355951E+00  -0.5348315E+00  -0.1008544E+01  -0.2538507E+01  -0.7903659E+00   0.8197168E-01  -0.1219728E+01   0.7662917E+00  -0.1529417E+00   0.3687047E+00  -0.4830290E+00   0.1742601E+01  -0.1861784E+04  -0.1023146E+05   0.7247265E+04   0.7928416E+04  -0.5413315E+04
   44.8000  -0.9462178E-01  -0.1041843E+01   0.6058995E+00   0.8532619E+00  -0.3571760E+00  -0.9080586E+00  -0.2469082E+01  -0.7799188E+00  -0.2916919E-01  -0.9527783E+00   0.5557543E+00   0.8886935E+00   0.6776323E+00  -0.9638190E+00   0.1570770E+01  -0.1077717E+04  -0.9710824E+04   0.6202681E+04   0.8199411E+04  -0.3760279E+04
   45.0000  -0.2430074E-01  -0.9113694E+00   0.5209053E+00   0.8302846E+00  -0.1956227E+00  -0.8393829E+00  -0.2248049E+01  -0.7335812E+00  -0.2028581E+00  -0.7253919E+00   0.3057232E+00   0.1857574E+01   0.6972776E+00  -0.1310226E+01   0.1240030E+01  -0.3831749E+03  -0.8513322E+04   0.5234117E+04   0.8095854E+04  -0.2246599E+04
   45.2000   0.3326086E-01  -0.7155531E+00   0.4366427E+00   0.7795696E+00  -0.6155489E-01  -0.8026159E+00  -0.1897199E+01  -0.6843573E+00  -0.4127522E+00  -0.5584781E+00   0.6226793E-01   0.2616302E+01   0.4611776E+00  -0.1475234E+01   0.7891903E+00   0.2063029E+03  -0.6743801E+04   0.4281566E+04   0.7732382E+04  -0.9733869E+03
   45.4000   0.7869466E-01  -0.4744487E+00   0.3441709E+00   0.7157484E+00   0.3725526E-01  -0.7923813E+00  -0.1456707E+01  -0.6610134E+00  -0.6283587E+00  -0.4657303E+00  -0.1292775E+00   0.3056894E+01   0.5615282E-01  -0.1432447E+01   0.2752711E+00   0.6914890E+03  -0.4577830E+04   0.3278579E+04   0.7237449E+04  -0.1004936E+02
   45.6000   0.1141244E+00  -0.2138356E+00   0.2366881E+00   0.6532981E+00   0.9748562E-01  -0.7991725E+00  -0.9794983E+00  -0.6824887E+00  -0.8188612E+00  -0.4516718E+00  -0.2344947E+00   0.3116389E+01  -0.4032076E+00  -0.1183459E+01  -0.2351089E+00   0.1084696E+04  -0.2239929E+04   0.2169621E+04   0.6736859E+04   0.6125707E+03
   45.8000   0.1423310E+00   0.3817743E-01   0.1108822E+00   0.6046191E+00   0.1205074E+00  -0.8116181E+00  -0.5237533E+00  -0.7552741E+00  -0.9573570E+00  -0.5110809E+00  -0.2384387E+00   0.2785760E+01  -0.8042478E+00  -0.7609735E+00  -0.6763090E+00   0.1403214E+04   0.2542873E+02   0.9221635E+03   0.6337432E+04   0.9041510E+03
   46.0000   0.1658314E+00   0.2548818E+00  -0.3269629E-01   0.5783550E+00   0.1119924E+00  -0.8192245E+00  -0.1446843E+00  -0.8740168E+00  -0.1024828E+01  -0.6299311E+00  -0.1502280E+00   0.2110996E+01  -0.1062984E+01  -0.2264305E+00  -0.9942579E+00   0.1662420E+04   0.1985734E+04  -0.4680727E+03   0.6113044E+04   0.9116179E+03
   46.2000   0.1860772E+00   0.4144916E+00  -0.1901642E+00   0.5782168E+00   0.8095061E-01  -0.8149981E+00   0.1132036E+00  -0.1024844E+01  -0.1013138E+01  -0.7876924E+00  -0.2154652E-02   0.1186248E+01  -0.1141793E+01   0.3380508E+00  -0.1155074E+01   0.1870092E+04   0.3450632E+04  -0.1978573E+04   0.6095232E+04   0.7111964E+03
   46.4000   0.2029635E+00   0.5029431E+00  -0.3554615E+00   0.6025206E+00   0.3835791E-01  -0.7973232E+00   0.2222401E+00  -0.1190290E+01  -0.9264606E+00  -0.9605882E+00   0.1569735E+00   0.1400748E+00  -0.1054343E+01   0.8423498E+00  -0.1150060E+01   0.2023328E+04   0.4295997E+04  -0.3566502E+04   0.6269821E+04   0.3971382E+03
   46.6000   0.2147897E+00   0.5155810E+00  -0.5217293E+00   0.6445305E+00  -0.4386185E-02  -0.7705884E+00   0.1752234E+00  -0.1354401E+01  -0.7807846E+00  -0.1125208E+01   0.2730920E+00  -0.8832289E+00  -0.8572507E+00   0.1203506E+01  -0.9960940E+00   0.2108887E+04   0.4478500E+04  -0.5177485E+04   0.6580253E+04   0.6895232E+02
   46.8000   0.2186968E+00   0.4574962E+00  -0.6825052E+00   0.6935737E+00  -0.3691621E-01  -0.7443141E+00  -0.1394868E-01  -0.1506656E+01  -0.6014801E+00  -0.1261825E+01   0.3003322E+00  -0.1744565E+01  -0.6311282E+00   0.1360504E+01  -0.7313088E+00   0.2107054E+04   0.4038682E+04  -0.6753906E+04   0.6937181E+04  -0.1807149E+03
   47.0000   0.2115132E+00   0.3424946E+00  -0.8324215E+00   0.7367632E+00  -0.5103945E-01  -0.7308747E+00  -0.3127097E+00  -0.1643724E+01  -0.4192710E+00  -0.1356803E+01   0.2134858E+00  -0.2330190E+01  -0.4561334E+00   0.1285712E+01  -0.4068946E+00   0.1998250E+04   0.3092346E+04  -0.8240436E+04   0.7232853E+04  -0.2757867E+03
   47.2000   0.1908178E+00   0.1908656E+00  -0.9672663E+00   0.7610447E+00  -0.4139372E-01  -0.7422647E+00  -0.6749334E+00  -0.1768682E+01  -0.2652818E+00  -0.1403700E+01   0.1630683E-01  -0.2568156E+01  -0.3883406E+00   0.9905021E+00  -0.7662572E-01   0.1770863E+04   0.1811675E+04  -0.9585688E+04   0.7358031E+04  -0.1627348E+03
   47.4000   0.1559673E+00   0.2630648E-01  -0.1083465E+01   0.7552360E+00  -0.5566528E-02  -0.7866244E+00  -0.1047932E+01  -0.1888025E+01  -0.1660220E+00  -0.1402904E+01  -0.2567537E+00  -0.2438564E+01  -0.4429159E+00   0.5236757E+00   0.2137826E+00   0.1428356E+04   0.3991704E+03  -0.1074027E+05   0.7218681E+04   0.1876452E+03
   47.6000   0.1088190E+00  -0.1275321E+00  -0.1177226E+01   0.7117112E+00   0.5627228E-01  -0.8653708E+00  -0.1380282E+01  -0.2007362E+01  -0.1392086E+00  -0.1359970E+01  -0.5463624E+00  -0.1976015E+01  -0.5883383E+00  -0.3726247E-01   0.4352989E+00   0.9936865E+03  -0.9416796E+03  -0.1165274E+05   0.6749770E+04   0.7822341E+03
   47.8000   0.5392481E-01  -0.2503525E+00  -0.1243695E+01   0.6274623E+00   0.1420688E+00  -0.9717051E+00  -0.1629289E+01  -0.2127088E+01  -0.1911956E+00  -0.1283092E+01  -0.7808508E+00  -0.1263779E+01  -0.7531949E+00  -0.6004443E+00   0.5803542E+00   0.5095379E+03  -0.2034509E+04  -0.1226585E+05   0.5923982E+04   0.1610175E+04
   48.0000  -0.1917663E-02  -0.3278827E+00  -0.1276488E+01   0.5043665E+00   0.2486961E+00  -0.1091004E+01  -0.1766957E+01  -0.2239316E+01  -0.3164656E+00  -0.1180342E+01  -0.8929647E+00  -0.4204435E+00  -0.8440074E+00  -0.1076840E+01   0.6626815E+00   0.3369947E+02  -0.2752871E+04  -0.1251542E+05   0.4754174E+04   0.2648370E+04
   48.2000  -0.5072895E-01  -0.3535260E+00  -0.1267884E+01   0.3486544E+00   0.3726433E+00  -0.1203189E+01  -0.1783557E+01  -0.2327094E+01  -0.4992586E+00  -0.1057341E+01  -0.8370627E+00   0.4189862E+00  -0.7698743E+00  -0.1396894E+01   0.7121258E+00  -0.3699001E+03  -0.3034412E+04  -0.1233373E+05   0.3289435E+04   0.3866158E+04
   48.4000  -0.8484273E-01  -0.3287670E+00  -0.1209778E+01   0.1697085E+00   0.5103835E+00  -0.1286700E+01  -0.1688266E+01  -0.2366364E+01  -0.7169802E+00  -0.9159842E+00  -0.6026065E+00   0.1124649E+01  -0.4680220E+00  -0.1523214E+01   0.7654074E+00  -0.6429752E+03  -0.2884640E+04  -0.1165800E+05   0.1605862E+04   0.5227654E+04
   48.6000  -0.9853495E-01  -0.2623078E+00  -0.1095304E+01  -0.2154936E-01   0.6583152E+00  -0.1323288E+01  -0.1506806E+01  -0.2330436E+01  -0.9446889E+00  -0.7545756E+00  -0.2203509E+00   0.1592628E+01   0.7596128E-01  -0.1456680E+01   0.8547314E+00  -0.7450628E+03  -0.2370067E+04  -0.1044327E+05  -0.2059453E+03   0.6691093E+04
   48.8000  -0.8941569E-01  -0.1681150E+00  -0.9208413E+00  -0.2143554E+00   0.8122802E+00  -0.1302557E+01  -0.1276486E+01  -0.2196121E+01  -0.1159754E+01  -0.5694295E+00   0.2408640E+00   0.1761579E+01   0.8182760E+00  -0.1234693E+01   0.9967334E+00  -0.6633318E+03  -0.1602249E+04  -0.8677167E+04  -0.2054157E+04   0.8205301E+04
   49.0000  -0.5923999E-01  -0.6272927E-01  -0.6879448E+00  -0.3995565E+00   0.9667928E+00  -0.1225154E+01  -0.1039491E+01  -0.1950167E+01  -0.1345735E+01  -0.3576467E+00   0.6867355E+00   0.1622360E+01   0.1660227E+01  -0.9219394E+00   0.1184342E+01  -0.4175309E+03  -0.7156743E+03  -0.6393583E+04  -0.3857190E+04   0.9704417E+04
   49.2000  -0.1389235E-01   0.3770074E-01  -0.4047402E+00  -0.5705478E+00   0.1114209E+01  -0.1103748E+01  -0.8355390E+00  -0.1594516E+01  -0.1494736E+01  -0.1204523E+00   0.1017300E+01   0.1218912E+01   0.2464488E+01  -0.5955992E+00   0.1383706E+01  -0.5844273E+02   0.1566089E+03  -0.3681640E+04  -0.5551364E+04   0.1110276E+05
   49.4000   0.3753758E-01   0.1201451E+00  -0.8635278E-01  -0.7235493E+00   0.1244128E+01  -0.9613307E+00  -0.6951386E+00  -0.1149027E+01  -0.1607774E+01   0.1337159E+00   0.1149803E+01   0.6400676E+00   0.3081171E+01  -0.3281776E+00   0.1537433E+01   0.3404761E+03   0.9054586E+03  -0.6869395E+03  -0.7093557E+04   0.1229205E+05
   49.6000   0.8446210E-01   0.1767281E+00   0.2458676E+00  -0.8572159E+00   0.1343311E+01  -0.8270135E+00  -0.6346099E+00  -0.6508374E+00  -0.1693170E+01   0.3872197E+00   0.1039496E+01   0.3535114E-02   0.3378284E+01  -0.1716259E+00   0.1574100E+01   0.6970419E+03   0.1462391E+04   0.2396554E+04  -0.8458863E+04   0.1314311E+05
   49.8000   0.1169754E+00   0.2057261E+00   0.5663486E+00  -0.9717185E+00   0.1396319E+01  -0.7300420E+00  -0.6537127E+00  -0.1501910E+00  -0.1763357E+01   0.6130433E+00   0.6933110E+00  -0.5653269E+00   0.3270070E+01  -0.1461794E+00   0.1422714E+01   0.9373202E+03   0.1807876E+04   0.5343958E+04  -0.9634275E+04   0.1351347E+05
   50.0000   0.1280586E+00   0.2113794E+00   0.8482835E+00  -0.1067550E+01   0.1386952E+01  -0.6932542E+00  -0.7363002E+00   0.2966717E+00  -0.1830856E+01   0.7768334E+00   0.1726694E+00  -0.9562901E+00   0.2737064E+01  -0.2363278E+00   0.1029553E+01   0.1012073E+04   0.1969974E+04   0.7924273E+04  -0.1061029E+05   0.1326128E+05
   50.2000   0.1153139E+00   0.2025689E+00   0.1067143E+01  -0.1144365E+01   0.1300398E+01  -0.7274227E+00  -0.8538877E+00   0.6363173E+00  -0.1904336E+01   0.8411299E+00  -0.4160810E+00  -0.1094579E+01   0.1833436E+01  -0.3948042E+00   0.3741128E+00   0.9090131E+03   0.2013768E+04   0.9928939E+04  -0.1137272E+05   0.1226436E+05
   50.4000   0.8180261E-01   0.1906184E+00   0.1204127E+01  -0.1200145E+01   0.1125832E+01  -0.8278404E+00  -0.9715049E+00   0.8269880E+00  -0.1985662E+01   0.7712991E+00  -0.9423365E+00  -0.9550169E+00   0.6797765E+00  -0.5537195E+00  -0.5193012E+00   0.6577270E+03   0.2023775E+04   0.1119951E+05  -0.1189700E+05   0.1044225E+05
   50.6000   0.3571907E-01   0.1866381E+00   0.1248934E+01  -0.1230912E+01   0.8590552E+00  -0.9741188E+00  -0.1054783E+01   0.8458176E+00  -0.2068593E+01   0.5422627E+00  -0.1279124E+01  -0.5672930E+00  -0.5573894E+00  -0.6404202E+00  -0.1577251E+01   0.3255736E+03   0.2082753E+04   0.1164973E+05  -0.1214649E+05   0.7777604E+04
   50.8000  -0.1112520E-01   0.1989189E+00   0.1201342E+01  -0.1231081E+01   0.5046960E+00  -0.1133508E+01  -0.1076988E+01   0.6929862E+00  -0.2139462E+01   0.1448340E+00  -0.1332361E+01  -0.1116788E-01  -0.1695343E+01  -0.5946033E+00  -0.2681869E+01   0.4638878E+01   0.2251003E+04   0.1127798E+05  -0.1207555E+05   0.4333133E+04
   51.0000  -0.4576847E-01   0.2308764E+00   0.1071290E+01  -0.1194411E+01   0.7749493E-01  -0.1267290E+01  -0.1024687E+01   0.3919610E+00  -0.2179717E+01  -0.4095906E+00  -0.1064958E+01   0.5977482E+00  -0.2568218E+01  -0.3829252E+00  -0.3684731E+01  -0.2080606E+03   0.2550243E+04   0.1016780E+05  -0.1163697E+05   0.2601951E+03
   51.2000  -0.5705027E-01   0.2799568E+00   0.8774205E+00  -0.1115354E+01  -0.3977070E+00  -0.1339072E+01  -0.9009727E+00  -0.1425898E-01  -0.2169779E+01  -0.1087088E+01  -0.5099189E+00   0.1129263E+01  -0.3056743E+01  -0.7885113E-02  -0.4428262E+01  -0.2333951E+03   0.2955297E+04   0.8476028E+04  -0.1079226E+05  -0.4203837E+04
   51.4000  -0.3843123E-01   0.3377433E+00   0.6443177E+00  -0.9905304E+00  -0.8874741E+00  -0.1323280E+01  -0.7255701E+00  -0.4702116E+00  -0.2093427E+01  -0.1832709E+01   0.2312858E+00   0.1463169E+01  -0.3108833E+01   0.4910005E+00  -0.4771445E+01  -0.3106488E+02   0.3395468E+04   0.6410548E+04  -0.9522812E+04  -0.8750771E+04
   51.6000   0.9957204E-02   0.3912788E+00   0.3989237E+00  -0.8200101E+00  -0.1352744E+01  -0.1212011E+01  -0.5317284E+00  -0.9170378E+00  -0.1941749E+01  -0.2575583E+01   0.1005758E+01   0.1512629E+01  -0.2747089E+01   0.1044037E+01  -0.4615498E+01   0.3860592E+03   0.3765660E+04   0.4201199E+04  -0.7839339E+04  -0.1302878E+05
   51.8000   0.8055232E-01   0.4254021E+00   0.1667413E+00  -0.6081156E+00  -0.1752965E+01  -0.1018582E+01  -0.3603841E+00  -0.1301860E+01  -0.1715820E+01  -0.3237139E+01   0.1638929E+01   0.1241997E+01  -0.2062005E+01   0.1564769E+01  -0.3924814E+01   0.9480630E+03   0.3945498E+04   0.2068795E+04  -0.5787669E+04  -0.1667889E+05
